transaction_id,order_id,transaction_date,transaction_type,amount,currency,payment_method,payment_reference,merchant_id,processor_response,processor_fee,is_processed,created_at,updated_at
TXN_00000001,ORD_00001061,2024-11-12 19:19:11,Sale,-447.14,USD,PayPal,REF_375280,MERCH_095,Pending,8.19,True,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000002,,2024-04-26 19:19:11,Discount,113.18,USD,PayPal,REF_435003,MERCH_059,Declined,5.84,True,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000003,ORD_00002919,2024-01-03 19:19:11,Discount,399.54,USD,PayPal,REF_898638,MERCH_061,Pending,9.79,False,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000004,ORD_00003850,2023-09-02 19:19:11,Fee,627.01,USD,Cash,REF_828920,MERCH_076,Declined,6.24,False,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000005,,2024-12-15 19:19:11,Adjustment,591.97,USD,Credit Card,REF_773858,MERCH_079,Declined,3.0,True,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000006,ORD_00002953,2024-06-27 19:19:11,Discount,959.4,USD,Bank Transfer,REF_101561,MERCH_006,Pending,4.44,False,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000007,ORD_00002003,2025-06-01 19:19:11,Refund,137.11,USD,Bank Transfer,REF_328008,MERCH_042,Approved,7.77,True,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000008,ORD_00001724,2023-12-18 19:19:11,Sale,41.57,USD,Cash,REF_983404,MERCH_031,Pending,5.82,False,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000009,,2023-12-23 19:19:11,Adjustment,382.41,USD,Cash,REF_355272,MERCH_051,Declined,9.61,False,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000010,ORD_00004483,2024-12-10 19:19:11,Discount,-900.11,USD,Cash,REF_223315,MERCH_065,Pending,0.01,False,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000011,ORD_00000776,2024-12-07 19:19:11,Discount,182.44,USD,PayPal,REF_229988,MERCH_035,Pending,9.12,False,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000012,ORD_00004306,2023-08-26 19:19:11,Fee,-935.7,USD,Credit Card,REF_576792,MERCH_097,Pending,4.87,False,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000013,ORD_00000150,2024-07-25 19:19:11,Fee,274.53,USD,PayPal,REF_845330,MERCH_051,Pending,6.58,True,2025-08-04 19:19:11,2025-08-04 19:19:11
TXN_00000014,ORD_00004066,2024-10-06 19:19:11,Discount,-893.33,USD,Credit Card,REF_190841,MERCH_081,Approved,5.6,False,2025-08-04 19:19:11,2025-08-04 19:19:11
